MX_MX_MX,AM_MX_MX,AV_MX_MX,MX_AM_MX,AM_AM_MX,AV_AM_MX,MX_AV_MX,MN_MX_MX,AM_AV_MX,MN_AM_MX,AV_AV_MX,MX_MN_MX,MN_AV_MX,AM_MN_MX,AV_MN_MX,MX_MX_AM,AM_MX_AM,AV_MX_AM,MX_AM_AM,MN_MN_MX,AM_AM_AM,AV_AM_AM,MX_AV_AM,MN_MX_AM,AM_AV_AM,MN_AM_AM,AV_AV_AM,MX_MN_AM,MN_AV_AM,AM_MN_AM,AV_MN_AM,MN_MN_AM,MX_MX_AV,AM_MX_AV,AV_MX_AV,MX_AM_AV,AM_AM_AV,AV_AM_AV,MN_MX_AV,MX_AV_AV,AM_AV_AV,MN_AM_AV,AV_AV_AV,MX_MN_AV,MN_AV_AV,AM_MN_AV,AV_MN_AV,MN_MN_AV,MX_MX_MN,AM_MX_MN,AV_MX_MN,MX_AM_MN,AM_AM_MN,MN_MX_MN,AV_AM_MN,MN_AM_MN,MX_AV_MN,AM_AV_MN,AV_AV_MN,MN_AV_MN,AM_MN_MN,MX_MN_MN,AV_MN_MN,MN_MN_MN
1.0,0.9813,0.9626,1.0,0.974,0.948,1.0,0.9252,0.9667,0.8959,0.9333,1.0,0.8666,0.952,0.904,0.6667,0.6643,0.662,0.6667,0.8081,0.6594,0.6522,0.6667,0.6573,0.6546,0.6378,0.6425,0.6667,0.6182,0.6448,0.6229,0.5792,0.3894,0.3754,0.3614,0.3796,0.3681,0.3565,0.3333,0.3698,0.3607,0.3333,0.3516,0.3503,0.3333,0.346,0.3418,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9742,0.9483,1.0,0.971,0.9421,1.0,0.8966,0.9679,0.8842,0.9358,1.0,0.8717,0.9617,0.9234,0.6667,0.6595,0.6524,0.6667,0.8468,0.6584,0.6501,0.6667,0.6381,0.6573,0.6336,0.6479,0.6667,0.6291,0.655,0.6434,0.6202,0.3935,0.3785,0.3634,0.39,0.3759,0.3617,0.3333,0.3866,0.3733,0.3333,0.36,0.3796,0.3333,0.368,0.3565,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9977,0.9954,1.0,0.9914,0.9828,1.0,0.9907,0.9852,0.9656,0.9703,1.0,0.9406,0.9726,0.9452,0.72,0.7066,0.6933,0.7024,0.8905,0.6935,0.6845,0.6849,0.6667,0.6803,0.6667,0.6758,0.6667,0.6667,0.6624,0.6582,0.6498,0.4492,0.4203,0.3913,0.4392,0.4127,0.3863,0.3333,0.4291,0.4052,0.3333,0.3812,0.409,0.3333,0.3901,0.3712,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9779,0.9558,1.0,0.9741,0.9482,1.0,0.9115,0.9703,0.8964,0.9406,1.0,0.8812,0.9627,0.9254,0.6667,0.665,0.6634,0.6667,0.8509,0.6633,0.66,0.6667,0.66,0.6616,0.6532,0.6566,0.6667,0.6464,0.6582,0.6497,0.6328,0.4147,0.3944,0.374,0.4132,0.3932,0.3733,0.3333,0.4117,0.3921,0.3333,0.3725,0.4086,0.3333,0.3898,0.371,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9843,0.9686,1.0,0.9799,0.9598,1.0,0.9373,0.9755,0.9196,0.951,1.0,0.9019,0.9666,0.9332,0.6889,0.6833,0.6778,0.68,0.8665,0.6767,0.6733,0.6711,0.6667,0.67,0.6667,0.6689,0.6667,0.6667,0.6634,0.66,0.6534,0.4404,0.4136,0.3869,0.4404,0.4136,0.3869,0.3333,0.4404,0.4136,0.3333,0.3869,0.4404,0.3333,0.4136,0.3868,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9649,0.9298,1.0,0.9637,0.9274,1.0,0.8595,0.9626,0.8549,0.9251,1.0,0.8502,0.9602,0.9204,0.6667,0.6587,0.6507,0.6667,0.8409,0.6569,0.6471,0.6667,0.6347,0.6551,0.6276,0.6436,0.6667,0.6205,0.6516,0.6365,0.6063,0.4286,0.4048,0.3809,0.4097,0.3906,0.3715,0.3333,0.3909,0.3765,0.3333,0.3621,0.3532,0.3333,0.3482,0.3432,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9853,0.9706,1.0,0.9823,0.9647,1.0,0.9411,0.9794,0.9293,0.9588,1.0,0.9176,0.9735,0.947,0.6814,0.6778,0.6741,0.6713,0.894,0.6701,0.669,0.6667,0.6667,0.6653,0.6667,0.6639,0.6667,0.6611,0.6602,0.6537,0.6408,0.4218,0.3997,0.3776,0.4132,0.3933,0.3733,0.3333,0.4047,0.3868,0.3333,0.369,0.3875,0.3333,0.374,0.3604,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9869,0.9738,1.0,0.9822,0.9644,1.0,0.9475,0.9775,0.9288,0.955,1.0,0.91,0.9682,0.9363,0.6745,0.6726,0.6706,0.6677,0.8726,0.6675,0.6672,0.6667,0.6667,0.6652,0.6667,0.6638,0.6667,0.6609,0.6618,0.657,0.6473,0.4221,0.3999,0.3777,0.4169,0.396,0.3751,0.3333,0.4118,0.3922,0.3333,0.3726,0.4016,0.3333,0.3845,0.3674,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9723,0.9446,1.0,0.9721,0.9442,1.0,0.8892,0.9719,0.8883,0.9437,1.0,0.8874,0.9714,0.9428,0.6667,0.6635,0.6604,0.6667,0.8857,0.6633,0.66,0.6667,0.6541,0.6631,0.6533,0.6596,0.6667,0.6525,0.6627,0.6588,0.651,0.4225,0.4002,0.3779,0.4201,0.3984,0.3767,0.3333,0.4176,0.3965,0.3333,0.3755,0.4127,0.3333,0.3929,0.373,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9683,0.9366,1.0,0.9674,0.9349,1.0,0.8731,0.9666,0.8698,0.9332,1.0,0.8665,0.965,0.93,0.6667,0.6587,0.6506,0.6667,0.8599,0.6584,0.6501,0.6667,0.6346,0.6582,0.6336,0.6496,0.6667,0.6326,0.6577,0.6486,0.6306,0.4013,0.3843,0.3673,0.4,0.3834,0.3667,0.3333,0.3987,0.3824,0.3333,0.366,0.3962,0.3333,0.3805,0.3647,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
